SEGMENTID,TYPE,TYPE_ID,COUNT
20120315103,Metal,3,2
20120315104,Anchor,2,1
20120315104,Chain,4,4
20120315401,Anchor,2,1
20120315404,Anchor,2,1
20120315406,Line,1,1
20120316101,Chain,4,1
20120316101,Metal,3,1
20120316102,Anchor,2,4
20120316102,Chain,4,6
20120316103,Chain,4,1
20120316104,Chain,4,2
20120316105,Line,1,3
20120316309,Line,1,1
20120503108,Anchor,2,1
20120504305,Line,1,1
20120505101,Line,1,1
20120509204,Line,1,2
20120512306,Net,5,2
20120512307,Wreck,7,1
20120512503,Line,1,1
20120517407,Line,1,2
20120518104,Line,1,1
20120518107,Metal,3,1
20120518307,Line,1,1
20120519208,Line,1,1
20150126105,Anchor,2,1
20150126106,Metal,3,1
20150126410,Net,5,1
20150127208,Metal,3,1
20150127509,Drum,11,1
20150127510,Cable,6,1
20150127601,Cable,6,1
20150127602,Other,9,1
20150127604,Drum,11,1
20150127604,Metal,3,1
20150208101,Wreck,7,1
20150208102,Wreck,7,1
20150208103,Wreck,7,2
20150408402,Anchor,2,1
20150417104,Net,5,1
20150425408,Metal,3,0
